# gnomAD v4.1.1 missense constraint per MANE Select transcript (gene<TAB>mis.oe<TAB>mis.z_score<TAB>constraint_flags)
# Source: gs://gcp-public-data--gnomad/release/4.1.1/constraint/gnomad.v4.1.1.constraint_metrics.tsv.bgz
# Used by filtering_r.pl for the ACMG PP2 criterion (missense in a missense-constrained gene, mis.oe < 0.6).
A1BG	1.0264e+00	-2.9516e-01	[]
A1CF	9.0836e-01	1.0479e+00	[]
A2M	8.3630e-01	2.9519e+00	[]
A2ML1	9.4451e-01	9.9517e-01	[]
A3GALT2	1.2222e+00	-2.1000e+00	[]
A4GALT	1.0534e+00	-5.0238e-01	["no_exp_lof"]
A4GNT	9.0408e-01	8.3536e-01	[]
AAAS	9.5788e-01	4.7080e-01	[]
AACS	9.8167e-01	2.3219e-01	[]
AADAC	9.8124e-01	1.7418e-01	[]
AADACL2	9.7746e-01	2.1126e-01	[]
AADACL3	1.0396e+00	-3.7708e-01	[]
AADACL4	1.0289e+00	-2.8041e-01	[]
AADAT	7.5804e-01	2.3316e+00	[]
AAGAB	1.2039e+00	-1.6811e+00	[]
AAK1	7.8506e-01	3.1365e+00	[]
AAMDC	9.7328e-01	1.3714e-01	[]
AAMP	7.5017e-01	2.5151e+00	[]
AANAT	9.6526e-01	2.5507e-01	[]
AAR2	8.7527e-01	1.1791e+00	[]
AARD	1.1224e+00	-7.5710e-01	[]
AARS1	9.6743e-01	4.8778e-01	[]
AARS2	8.9596e-01	1.5945e+00	[]
AARSD1	9.7689e-01	2.2541e-01	[]
AASDH	9.5009e-01	7.5737e-01	[]
AASDHPPT	9.9682e-01	2.6383e-02	[]
AASS	9.1669e-01	1.2014e+00	[]
AATF	9.3186e-01	7.6099e-01	[]
AATK	1.1073e+00	-2.0284e+00	[]
ABAT	9.6141e-01	4.2226e-01	[]
ABCA1	8.8280e-01	2.6343e+00	[]
ABCA10	9.5287e-01	8.5577e-01	[]
ABCA12	9.0511e-01	2.2496e+00	[]
ABCA13	1.0253e+00	-8.2882e-01	[]
ABCA2	7.8158e-01	5.4365e+00	[]
ABCA3	9.4047e-01	1.2180e+00	[]
ABCA4	9.7790e-01	5.0352e-01	[]
ABCA5	9.7181e-01	5.2590e-01	[]
ABCA6	1.0338e+00	-6.2655e-01	[]
ABCA7	1.1390e+00	-3.2055e+00	[]
ABCA8	1.0054e+00	-9.9613e-02	[]
ABCA9	9.4382e-01	1.0479e+00	[]
ABCB1	8.5292e-01	2.4734e+00	[]
ABCB10	8.6624e-01	1.7827e+00	[]
ABCB11	9.4138e-01	1.0056e+00	[]
ABCB4	7.9452e-01	3.4537e+00	[]
ABCB5	1.2034e+00	-3.3821e+00	[]
ABCB6	9.5638e-01	6.1645e-01	[]
ABCB7	6.2414e-01	3.8284e+00	[]
ABCB8	9.3266e-01	8.9655e-01	[]
ABCB9	8.9408e-01	1.4671e+00	[]
ABCC1	9.0729e-01	1.7695e+00	[]
ABCC10	8.9449e-01	1.9618e+00	[]
ABCC11	9.7553e-01	4.3312e-01	[]
ABCC12	9.6862e-01	5.5034e-01	[]
ABCC2	9.8366e-01	2.9989e-01	[]
ABCC3	9.5157e-01	9.1538e-01	[]
ABCC4	8.7308e-01	2.1690e+00	[]
ABCC5	7.2135e-01	5.0605e+00	[]
ABCC6	8.9925e-01	1.8863e+00	[]
ABCC8	8.4431e-01	3.0229e+00	[]
ABCC9	5.8731e-01	7.6240e+00	[]
ABCD1	7.4322e-01	2.8856e+00	[]
ABCD2	8.1894e-01	2.3040e+00	[]
ABCD3	7.7142e-01	2.7682e+00	[]
ABCD4	9.9019e-01	1.1573e-01	[]
ABCE1	4.5716e-01	6.2201e+00	[]
ABCF1	7.4328e-01	3.5604e+00	[]
ABCF2	6.6997e-01	3.9364e+00	[]
ABCF3	9.1102e-01	1.1544e+00	[]
ABCG1	7.9949e-01	2.5627e+00	[]
ABCG2	1.0124e+00	-1.4868e-01	[]
ABCG4	7.2079e-01	3.4641e+00	[]
ABCG5	1.0947e+00	-1.1628e+00	[]
ABCG8	1.2918e+00	-3.6629e+00	["outlier_mis"]
ABHD1	1.0926e+00	-8.8640e-01	[]
ABHD10	9.2660e-01	6.1013e-01	[]
ABHD11	9.0189e-01	8.6005e-01	[]
ABHD12	1.0034e+00	-3.3794e-02	[]
ABHD12B	1.0698e+00	-6.3011e-01	[]
ABHD13	7.4987e-01	2.1408e+00	[]
ABHD14A	9.0243e-01	7.7246e-01	[]
ABHD14B	9.1012e-01	6.2634e-01	[]
ABHD15	9.9016e-01	1.0707e-01	[]
ABHD16A	7.8958e-01	2.4322e+00	[]
ABHD16B	1.0636e+00	-7.2638e-01	[]
ABHD17A	6.3849e-01	3.2972e+00	[]
ABHD17B	6.3620e-01	2.9114e+00	[]
ABHD17C	5.9545e-01	3.7415e+00	[]
ABHD18	9.5439e-01	4.5966e-01	[]
ABHD2	7.3522e-01	2.6504e+00	[]
ABHD3	9.8439e-01	1.4854e-01	[]
ABHD4	8.5536e-01	1.3155e+00	[]
ABHD5	9.4249e-01	5.0468e-01	[]
ABHD6	8.9924e-01	8.8339e-01	[]
ABHD8	9.0358e-01	1.0201e+00	[]
ABI1	7.4040e-01	2.7082e+00	[]
ABI2	7.9932e-01	2.2349e+00	[]
ABI3	9.9147e-01	8.0144e-02	[]
ABI3BP	9.5767e-01	8.4332e-01	[]
ABITRAM	9.7638e-01	1.4951e-01	[]
ABL1	7.2646e-01	4.5023e+00	[]
ABL2	8.5450e-01	2.3686e+00	[]
ABLIM1	8.4974e-01	2.0351e+00	[]
ABLIM2	9.6286e-01	4.6650e-01	[]
ABLIM3	8.9493e-01	1.3364e+00	[]
ABR	7.3083e-01	3.8335e+00	[]
ABRA	1.0189e+00	-1.7828e-01	[]
ABRACL	1.0691e+00	-2.9062e-01	[]
ABRAXAS1	9.0887e-01	8.5325e-01	[]
ABRAXAS2	8.6548e-01	1.2980e+00	[]
ABT1	1.1315e+00	-1.0933e+00	[]
ABTB1	9.4551e-01	5.9988e-01	[]
ABTB2	9.0859e-01	1.4627e+00	[]
ACAA1	9.1062e-01	9.0393e-01	[]
ACAA2	9.6984e-01	2.8259e-01	[]
ACACA	5.1979e-01	1.1198e+01	[]
ACACB	8.7183e-01	3.1253e+00	[]
ACAD10	9.3247e-01	1.0582e+00	[]
ACAD11	9.4670e-01	7.0123e-01	[]
ACAD8	9.2338e-01	7.5585e-01	[]
ACAD9	9.6786e-01	3.8832e-01	[]
ACADL	9.2097e-01	7.7265e-01	[]
ACADM	9.7836e-01	2.0785e-01	[]
ACADS	9.1351e-01	8.8678e-01	[]
ACADSB	1.0384e+00	-3.7009e-01	[]
ACADVL	1.0223e+00	-2.7828e-01	[]
ACAN	9.8408e-01	3.5660e-01	[]
ACAP1	7.5661e-01	3.2353e+00	[]
